len,count,word,sentiment,topic
2.0,25532,早盘,2.0,3
2.0,25506,四大,2.0, 
2.0,25456,开始,3.0,
1.0,25451,深,2.0,
2.0,25438,联合,2.0, 
3.0,25359,中石化,,
2.0,25337,半年,2.0,1
1.0,25246,强,3.0,
2.0,25227,一个,2.0,
2.0,25117,积极,3.0,4
2.0,25070,招商,,
2.0,24975,客车,2.0,
2.0,24972,优势,3.0,
3.0,24948,机器人,2.0,2.0
1.0,24881,内,2.0,
2.0,24846,研发,3.0,2.0
2.0,24690,主业,2.0,4
2.0,24675,支付,2.0,
2.0,24671,调控,,
1.0,24670,王,2.0, 
2.0,24668,解析,,
2.0,24582,设备,2.0,2
2.0,24447,食品,2.0,
3.0,24403,下半年,2.0,1
2.0,24342,下调,1.0,
1.0,24287,需,2.0,
2.0,24269,最高,3.0,1
1.0,24232,无,1.0,
1.0,24163,我,2.0, 
1.0,24156,美,2.0,
2.0,24127,质疑,1.0,4
2.0,24016,还是,2.0,
2.0,23976,生态,2.0,
2.0,23966,百亿,2.0,1
2.0,23936,调研,2.0,2
2.0,23894,推出,3.0,
2.0,23756,解读,,
1.0,23654,云,2.0,
2.0,23600,中心,2.0,
2.0,23576,海南,2.0,
2.0,23548,套现,1.0,3
3.0,23448,com,,
2.0,23435,恒大,2.0,
2.0,23385,合资,3.0,
2.0,23373,举牌,2.0,3.0
2.0,23342,携手,3.0,4
2.0,23331,登陆,3.0,2.0
2.0,23260,景气,3.0,1
2.0,23230,亮相,3.0,2.0
2.0,23204,利率,2.0,3
2.0,23144,揭秘,,
2.0,23135,全线,2.0,4
2.0,23135,为何,2.0,
2.0,23083,四川,2.0,
1.0,23062,引,2.0, 
2.0,23060,信托,2.0,4
2.0,23049,入股,3.0,4
2.0,23020,进行,2.0,
2.0,23001,历史,2.0,
3.0,22989,五粮液,2.0,1
2.0,22938,能否,1.0,
2.0,22912,能力,3.0,4
2.0,22880,车企,2.0,
2.0,22851,财经,,
1.0,22832,出,2.0,
2.0,22791,累计,2.0,1
2.0,22767,暴跌,1.0,3
2.0,22721,回落,1.0,
2.0,22666,啤酒,2.0,
1.0,22661,名,2.0,
2.0,22658,注入,3.0,3
2.0,22640,一年,2.0,1
2.0,22622,一汽,2.0, 
2.0,22613,香港,2.0,
1.0,22580,总,2.0,
2.0,22552,优质,3.0,2
2.0,22549,签署,3.0,4
2.0,22537,改善,3.0,
2.0,22513,阿里,2.0,
2.0,22403,冲击,2.0,
2.0,22393,异动,2.0,4
2.0,22386,农业,2.0,1
2.0,22321,两市,2.0, 
2.0,22278,遭遇,1.0,4
2.0,22191,青岛,2.0,
3.0,22188,www,,
4.0,22183,http,,
2.0,22152,路演,2.0,3.0
2.0,22151,再次,2.0,
1.0,22135,五,2.0,
2.0,22106,cn,,
2.0,22106,拓展,3.0,
2.0,22079,签订,3.0,4
4.0,22064,sina,,
2.0,21944,超过,3.0,1
2.0,21936,节能,3.0,2
1.0,21898,钱,2.0,
2.0,21881,油价,,
2.0,21854,多少,,
2.0,21835,下周,,
1.0,21804,路,2.0, 
2.0,21773,提前,3.0,1
2.0,21771,退市,1.0,4.0
2.0,21736,哪些,,
2.0,21733,大宗,2.0,
2.0,21715,用户,,
2.0,21712,中航,2.0,
1.0,21690,料,2.0,
2.0,21656,机遇,3.0,
2.0,21641,环境,2.0,1
2.0,21610,月份,2.0,
2.0,21603,腾讯,2.0,
2.0,21584,家电,2.0,1
2.0,21528,联手,3.0,
2.0,21475,主力,3.0,
2.0,21446,格局,2.0,4.0
2.0,21435,承诺,3.0,4
2.0,21421,重磅,3.0,2
2.0,21393,获得,3.0,1
2.0,21391,旗下,3.0,4
2.0,21384,铁路,2.0,
2.0,21333,期待,3.0,4
2.0,21311,不超,2.0,
2.0,21268,苹果,2.0,
1.0,21262,望,2.0, 
2.0,21250,聚焦,2.0,4
1.0,21243,卖,1.0,1
2.0,21233,董事,2.0,4.0
2.0,21220,值得,3.0,
1.0,21119,用,2.0,
2.0,21110,实控,2.0,4.0
2.0,21048,出现,2.0, 
2.0,21009,建议,2.0, 
2.0,20966,新华,2.0,
2.0,20963,标的,2.0,2
1.0,20933,比,2.0,
2.0,20892,乐视,,
3.0,20892,深交所,2.0,3.0
2.0,20866,降价,2.0,1.0
2.0,20852,购买,3.0,1
2.0,20843,增加,3.0,
2.0,20808,广东,2.0,
2.0,20790,掘金,3.0,1
2.0,20776,新材,2.0,2.0
2.0,20759,提价,3.0,1
2.0,20684,租赁,2.0,4.0
2.0,20674,开展,3.0,1
1.0,20578,全,3.0,
1.0,20378,榜,2.0,
2.0,20348,活动,2.0,
2.0,20335,长江,2.0,
2.0,20326,出口,3.0,1
2.0,20306,合并,2.0,4.0
2.0,20273,逆势,2.0,3.0
1.0,20270,双,2.0,
2.0,20237,周期,1.0,1
2.0,20213,重要,2.0,
2.0,20211,五大,3.0,
2.0,20209,HK,,
2.0,20207,材料,2.0,
2.0,20194,美元,,
2.0,20191,举行,,
2.0,20191,创业,3.0,1
1.0,20180,仅,2.0,
1.0,20178,变,2.0, 
1.0,20134,拿,,
2.0,20078,释放,3.0,1
2.0,20050,飙升,3.0,1
3.0,19995,上交所,2.0,3.0
1.0,19895,二,2.0,
2.0,19891,两大,3.0, 
1.0,19870,四,2.0,
2.0,19866,试点,2.0,
