len,count,word,sentiment,topic
2,278,显现,2,1
2,277,违约,1,1
2,276,三九,2,
2,275,精准,3,1
2,274,三泰,2,
2,274,双塔,2,
2,273,同期,2,1
2,271,已经,2,
3,270,再融资,3,3
2,269,通讯,2,2
2,268,下游,2,2
2,268,哈药,2,1
2,267,恒逸,2,
2,266,雨虹,2,
2,265,美邦,2,
2,264,兴业,2,
2,263,苏州,2,
2,262,对外,2,1
2,261,化纤,2,2
2,261,精机,2,2
2,259,长信,2,
2,259,腾达,2,
1,258,板,2,
4,258,大会决议,2,4
2,257,确认,3,4
2,256,应收,3,1
2,256,爱康,2,
2,255,宁夏,2,
2,254,活跃,3,1
1,254,化,2,
2,252,沱牌,2,
2,252,教育,2,1
2,251,增强,3,
3,250,第七届,2,
2,249,达尔,2,
1,248,烯,3,2
2,248,区块,3,2
2,246,北斗,2,2
2,245,高位,3,1
4,244,燕京啤酒,2,
2,243,会计,2,4
2,242,双双,2,
2,242,重启,3,2
2,242,处置,1,1
1,241,踩,1,1
2,240,亿利,2,1
2,240,多项,2,2
2,239,掘金,3,1
3,238,预增超,3,1
2,237,大禹,2,
2,236,过半,2,
2,235,神火,2,
2,234,合肥,2,
2,233,通达,3,1
2,232,黄金,2,1
2,232,肺炎,2,
2,231,合格,1,1
2,231,九洲,2,
2,230,谴责,1,4
3,229,李保芳,2,
2,228,预减,1,1
1,228,齐,2,
2,227,达到,3,1
2,226,进口,2,1
2,226,两倍,3,1
2,225,佛山,2,
2,225,水产,2,
3,224,深圳市,2,
2,223,沙钢,2,
2,223,存疑,1,
4,223,太极集团,2,
2,222,高德,2,
2,222,负债,1,1
2,221,核查,1,4
2,220,之家,2,
2,220,证金,2,
2,219,兴发,2,
1,218,去,2,
2,217,万里,2,
2,217,看点,3,
2,216,抄底,1,
2,216,密集,2,1
2,215,柔性,2,2
2,215,自救,1,4
2,215,职务,2,4
2,214,酵母,2,2
1,214,披,2,
2,214,煤炭,2,
3,213,电动车,2,2
2,213,金马,2,
2,213,理财,2,3
2,212,达华,2,
2,211,独家,2,2
2,211,东凌,2,
2,210,莱美,2,
2,210,零售,2,2
4,209,动力电池,2,2
2,209,召回,1,1
2,209,华北,2,
2,208,关键,3,1
2,207,责令,1,4
1,207,驰,2,
2,206,明星,2,2
2,206,转亏,1,1
2,205,二期,2,1
2,205,福耀,2,
2,204,杭州,2,
2,204,卓翼,2,
2,204,牛股,2,3
2,204,天奇,2,
2,203,日本,2,
2,202,开工,3,1
2,202,华邦,2,
4,202,丽珠集团,2,
3,201,白马股,3,
2,200,西王,2,
2,200,铁塔,2,
2,199,引进,3,2
4,199,国企改革,3,4
